Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.814111261872455,0.538358008075377,-0.401606425702823,-4.16666666666666,1.96353436185133,-2.61348005502063,-4.23728813559322,0.442477876106182,0.293685756240819,-4.39238653001463,-2.75650842266462,0.944881889763778,1.40405616224648,-2.76923076923077,-5.85443037974683,2.18487394957982,..,..
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12474.6106973595,12486.5555256789,12516.546304519,12491.1856552836,12062.8690341246,12456.0952625717,12314.7568357337,11961.2582255703,12143.5831594715,12249.143636005,11730.4686798283,11397.6989212572,11489.3083113764,11646.2409517666,11338.15324447,10697.5907946782,10961.8678445867,..,..
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,1012346692.50671,1059415401.3062,1145755038.99145,1234991794.42933,1304383386.5365,1311455827.07027,1354783534.84503,1393240089.2387,1413623194.23724,1414210656.38646,1445446717.57423,1443531869.0965,1461524932.50469,1487395653.0415,1513941005.34203,1549086131.92805,1599482888.42279,1688208158.34045,1774210988.9159,1859852760.9129,1930181002.39944,1979323466.15294,1997715576.45406,1977109459.69853,2024227688.97942,2080045751.05274,2176762473.45181,2374144159.09756,2449993086.30684,2550420283.40651,2640408325.59989,2854792522.86889,2984581731.4066,3244067347.20933,3507994166.77714,3697348535.06562,3875142516.24022,3935330770.25056,3716558398.51518,3519475009.94299,3449966856.68832,3449688452.87021,3278085642.31738,3161792390.29564,3240978390.56079,3287458570.8604,3409412700.51704,3421211719.47501,3475566750.62972,3539838260.639,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,4.64946536081887,8.14974348860618,7.78846720294035,5.61878972962955,0.542205658763677,3.30378704950793,2.83857556610046,1.46300017893397,0.0415571951294567,2.20872760693067,-0.132474511474285,1.24646111342557,1.7701183169326,1.78468669356731,2.32143303219976,3.25332177830622,5.54712217053779,5.09432620323258,4.82703424406891,3.78138758962959,2.54600287187591,0.929211956288995,-1.0314840109577,2.38318769098808,2.75749918732981,4.64974014875021,9.06767219910549,3.19479029605816,4.09908083663429,3.52836129711103,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965345,-0.00806975341139093,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,1.84923825726078,..
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,31455.4749611885,31265.5830511863,32137.5511643332,32996.3980779982,33329.8234574688,32217.2652779386,32158.8954380089,32068.6277291737,31606.1290397235,30637.5753378227,30229.8627295378,29036.1623695864,28185.0042590451,27453.5087256026,26740.170007247,26199.0060384155,25936.5380987018,26280.371764239,26535.4195372023,26748.149358538,26710.0025703994,26345.109324331,25588.8612165348,24459.7212683177,24361.008755958,24572.8819110271,25511.6832461886,27839.2733876489,28811.5397867427,29886.3138072632,30458.1740327267,31977.1016171426,32138.5030478665,33437.1840069963,34705.4194428414,35362.192044835,36089.7855370217,35900.7788689468,33428.7281486251,31430.8040206955,30815.1665502256,31070.9637360144,29998.1802079416,29526.0851264021,30861.9797255501,31786.9274845855,33270.6314604706,33514.110206361,34044.3601797263,34612.7919939851,..
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26637104502.1564,25465071579.2589,25465071579.2589,26534604949.3159,28126681820.5827,29111115540.7262,29955338398.7124,31178339568.7414,33089225853.2073,33102998072.7204,31960911971.9797,32277759445.6456,30393293234.844,23103942843.9427,23413388606.7796,26925396904.5545,30572272219.3363,32796184094.1753,34334701120.3514,35083709095.1369,36155384575.451,37676079528.6812,42824774451.2357,44105170974.6178,48935949384.3211,56290491777.1201,62790739426.972,71587733475.3748,79581318822.8055,80264693646.7985,83799496611.2004,86708995310.3851,94115840392.858,98778851724.4208,103542587859.422,104519586272.323,101822929058.742,101673032530.175,99635881425.7512,99013511554.0281,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.40000121936168,0,4.20000142834162,6.000002164373,3.49999948953467,2.9000017426512,4.08274863648847,6.12889047620016,0.0416214618442581,-3.45009868360484,0.991359301460875,-5.83828073313141,-23.9834174420578,1.33936343647991,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093552,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303614,0.858712615098284,4.40393254343761,3.47197634454024,8.54218764265372,4.95454464636187,4.82262756838996,0.943571561325001,-2.58004964404932,-0.147212941085755,-2.00362972730201,-0.624644317706895,..
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49617.1436686426,45791.6881283118,44193.3227060934,44435.6643573,45452.5482646668,45403.6068737437,45099.0895946862,45319.3488825107,46450.8224109482,44901.2677641414,41911.9514145531,40943.4249978835,37308.890593825,27454.9520617475,26939.3984721426,29999.5743770296,32985.377230123,34264.5008227107,34732.1166155293,34355.1760589944,34263.1232413972,34544.8050729879,37979.8589701929,37815.8427355736,40533.6807877325,45004.8845602581,48417.3029783124,53205.779813534,56992.3676717629,55391.6603954619,55746.3301251408,55623.2135861197,58241.1191109295,58993.6184884712,59713.2431381016,58239.0909089931,54851.7943184089,52981.3982396739,50246.4446171314,48339.2534146188,..
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,323050296.77667,337211619.784609,364457459.908829,394202403.283718,409240894.491539,408897081.951469,430830387.966,474624277.923985,510903578.091765,569625959.491972,607371476.614152,639035409.206963,672599304.048187,692856076.064447,707936633.163291,716137903.429466,753949116.116975,804288090.307591,769224448.204454,820027567.04884,864896264.962877,905815589.17117,939399770.190413,997674789.130764,952300505.076013,962084840.143441,1020546345.77504,1079401545.5326,1149280180.81721,1295332413.25319,1415997590.78741,1415794527.50139,1246427314.51083,1148700000,1126201416.73822,1164186683.67089,1157191360.67478,1201115192.6865,1247061369.26107,1315622165.26087,1357005634.12294,1457277455.93212,1525166899.84343,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.38362792086504,8.07974533665914,8.16143079697966,3.81491616554098,-0.0840122638518181,5.36401627271424,10.1649955948421,7.64379359742541,11.4938285653697,6.62636884664514,5.21327290002557,5.2522746560909,3.01171468574839,2.17657860265928,1.15847519142061,5.27987870861712,6.67670710324244,-4.35958738239265,6.60445972082297,5.4716084820797,4.73112509163738,3.70761791039314,6.20343125361191,-4.54800347258279,1.02744196976423,6.07654368848398,5.7670286118037,6.47383131641992,12.7081485327737,9.31538316339753,-0.0143406519435985,-11.9626972488343,-7.84059474412172,-1.95861262834343,3.37286620031867,-0.600876396735046,3.79572761294251,3.82529309880827,5.49778845610642,3.14554360323184,7.38919716232351,4.6586491566827,..
